Country|City|Code|Name
RUSSIA|KURGAN|KRO|KURGAN AIRPORT
DENMARK|KARUP|KRP|KARUP AIRPORT
UKRAINE|KRAMATORSK|KRQ|KRAMATORSK AIRPORT
RUSSIA|KRASNODAR|KRR|KRASNODAR PASHKOVSKY INTERNATIONAL AIRPORT
NORWAY|KRISTIANSAND|KRS|KRISTIANSAND AIRPORT
SUDAN|KHARTOUM|KRT|KHARTOUM INTERNATIONAL AIRPORT
TURKMENISTAN|KRASNOVODSK|KRW|TURKMENBASHI AIRPORT
CHINA|KARAMAY|KRY|KARAMAY AIRPORT
CONGO (KINSHASA)|KIRI|KRZ|BASANGO MBOLIASA AIRPORT
MICRONESIA|KOSRAE|KSA|KOSRAE INTERNATIONAL AIRPORT
SLOVAKIA|KOSICE|KSC|KOSICE AIRPORT
SWEDEN|KARLSTAD|KSD|KARLSTAD AIRPORT
GERMANY|KASSEL|KSF|KASSEL-CALDEN AIRPORT
IRAN|BAKHTARAN|KSH|SHAHID ASHRAFI ESFAHANI AIRPORT
GUINEA|KISSIDOUGOU|KSI|KISSIDOUGOU AIRPORT
GREECE|KASOS|KSJ|KASOS AIRPORT
SWEDEN|KARLSKOGA|KSK|KARLSKOGA AIRPORT
SUDAN|KASSALA|KSL|KASSALA AIRPORT
UNITED STATES|ST MARY'S|KSM|ST MARY'S AIRPORT
KAZAKHSTAN|KOSTANAY|KSN|KOSTANAY WEST AIRPORT
GREECE|KASTORIA|KSO|KASTORIA NATIONAL AIRPORT
UZBEKISTAN|KHANABAD|KSQ|KARSHI KHANABAD AIRPORT
MALI|SIKASSO|KSS|SIKASSO AIRPORT
NORWAY|KRISTIANSUND|KSU|KRISTIANSUND AIRPORT (KVERNBERGET)
TURKEY|KARS|KSY|KARS AIRPORT
RUSSIA|KOTLAS|KSZ|KOTLAS AIRPORT
AUSTRALIA|KARRATHA|KTA|KARRATHA AIRPORT
JAPAN|KITADAITO|KTD|KITADAITO AIRPORT
MALAYSIA|KERTEH|KTE|KERTEH AIRPORT
NEW ZEALAND|TAKAKA|KTF|TAKAKA AIRPORT
INDONESIA|KETAPANG|KTG|KETAPANG(RAHADI USMAN) AIRPORT
CAMBODIA|KRATIE|KTI|KRATIE AIRPORT
KENYA|KITALE|KTL|KITALE AIRPORT
NEPAL|KATHMANDU|KTM|TRIBHUVAN INTERNATIONAL AIRPORT
UNITED STATES|KETCHIKAN|KTN|KETCHIKAN INTERNATIONAL AIRPORT
JAMAICA|KINGSTON|KTP|TINSON PEN AIRPORT
AUSTRALIA|KATHERINE|KTR|TINDAL AIRPORT
UNITED STATES|BREVIG MISSION|KTS|BREVIG MISSION AIRPORT
FINLAND|KITTILA|KTT|KITTILA AIRPORT
INDIA|KOTA|KTU|KOTA AIRPORT
POLAND|KATOWICE|KTW|KATOWICE INTERNATIONAL AIRPORT
MALAYSIA|KUANTAN|KUA|KUANTAN AIRPORT
KIRIBATI|KURIA|KUC|KURIA AIRPORT
MALAYSIA|KUDAT|KUD|KUDAT AIRPORT
RUSSIA|SAMARA|KUF|KURUMOCH INTERNATIONAL AIRPORT
AUSTRALIA|KUBIN|KUG|KUBIN AIRPORT
JAPAN|KUSHIRO|KUH|KUSHIRO AIRPORT
UNITED STATES|KASIGLUK|KUK|KASIGLUK AIRPORT
MALAYSIA|KUALA LUMPUR|KUL|KUALA LUMPUR INTERNATIONAL AIRPORT
JAPAN|YAKUSHIMA|KUM|YAKUSHIMA AIRPORT
LITHUANIA|KAUNAS|KUN|KAUNAS INTERNATIONAL AIRPORT
FINLAND|KUOPIO|KUO|KUOPIO AIRPORT
GEORGIA|KUTAISI|KUT|KOPITNARI AIRPORT
INDIA|KULU|KUU|KULLU MANALI AIRPORT
SOUTH KOREA|KUNSAN|KUV|KUNSAN AIR BASE
GREECE|KAVALA|KVA|ALEXANDER THE GREAT INTERNATIONAL AIRPORT
SWEDEN|SKOVDE|KVB|SKOVDE AIRPORT
UNITED STATES|KING COVE|KVC|KING COVE AIRPORT
AZERBAIJAN|GANJA|KVD|GANJA AIRPORT
PAPUA NEW GUINEA|KAVIENG|KVG|KAVIENG AIRPORT
RUSSIA|APATITY|KVK|KIROVSK-APATITY AIRPORT
UNITED STATES|KIVALINA|KVL|KIVALINA AIRPORT
RUSSIA|MARKOVO|KVM|MARKOVO AIRPORT
RUSSIA|KIROV|KVX|POBEDILOVO AIRPORT
MARSHALL ISLANDS|KWAJALEIN|KWA|BUCHOLZ ARMY AIR FIELD
INDONESIA|KARIMUNJAWA|KWB|DEWADARU - KEMUJAN ISLAND
CHINA|GUIYANG|KWE|LONGDONGBAO AIRPORT
UKRAINE|KRIVOY ROG|KWG|KRYVYI RIH INTERNATIONAL AIRPORT
KUWAIT|KUWAIT|KWI|KUWAIT INTERNATIONAL AIRPORT
SOUTH KOREA|KWANGJU|KWJ|GWANGJU AIRPORT
UNITED STATES|KWIGILLINGOK|KWK|KWIGILLINGOK AIRPORT
CHINA|GUILIN|KWL|GUILIN LIANGJIANG INTERNATIONAL AIRPORT
AUSTRALIA|KOWANYAMA|KWM|KOWANYAMA AIRPORT
UNITED STATES|QUINHAGAK|KWN|QUINHAGAK AIRPORT
UNITED STATES|KWETHLUK|KWT|KWETHLUK AIRPORT
CONGO (KINSHASA)|KOLWEZI|KWZ|KOLWEZI AIRPORT
FIJI|KORO ISLAND|KXF|KORO ISLAND AIRPORT
RUSSIA|KOMSOMOLSK-ON-AMUR|KXK|KOMSOMOLSK-ON-AMUR AIRPORT
TURKEY|KONYA|KYA|KONYA AIRPORT
TAIWAN|LANYU|KYD|LANYU AIRPORT
UNITED STATES|KARLUK|KYK|KARLUK AIRPORT
BURMA|KYAUKPYU|KYP|KYAUKPYU AIRPORT
MALI|KAYES|KYS|KAYES DAG DAG AIRPORT
UNITED STATES|KOYUKUK|KYU|KOYUKUK AIRPORT
RUSSIA|KYZYL|KYZ|KYZYL AIRPORT
GREECE|KOZANI|KZI|FILIPPOS AIRPORT
RUSSIA|KAZAN|KZN|KAZAN INTERNATIONAL AIRPORT
KAZAKHSTAN|KZYL-ORDA|KZO|KZYL-ORDA SOUTHWEST AIRPORT
TURKEY|KUTAHYA|KZR|ZAFER AIRPORT
GREECE|KASTELORIZO|KZS|KASTELORIZO AIRPORT
UNITED STATES|LAMAR|LAA|LAMAR MUNICIPAL AIRPORT
ANGOLA|LUANDA|LAD|QUATRO DE FEVEREIRO AIRPORT
PAPUA NEW GUINEA|NADZAB|LAE|NADZAB AIRPORT
UNITED STATES|LAFAYETTE|LAF|PURDUE UNIVERSITY AIRPORT
FRANCE|LANNION|LAI|LANNION-COTE DE GRANIT AIRPORT
CANADA|AKLAVIK|LAK|AKLAVIK FREDDIE CARMICHAEL AIRPORT
UNITED STATES|LAKELAND|LAL|LAKELAND LINDER REGIONAL AIRPORT
UNITED STATES|LOS ALAMOS|LAM|LOS ALAMOS AIRPORT
UNITED STATES|LANSING|LAN|CAPITAL CITY AIRPORT
PHILIPPINES|LAOAG|LAO|LAOAG INTERNATIONAL AIRPORT
MEXICO|LA PAZ|LAP|MANUEL MARQUEZ DE LEON INTERNATIONAL AIRPORT
LIBYA|AL BAYDA'|LAQ|LA ABRAQ AIRPORT
UNITED STATES|LARAMIE|LAR|LARAMIE REGIONAL AIRPORT
UNITED STATES|LAS VEGAS|LAS|MCCARRAN INTERNATIONAL AIRPORT
KENYA|LAMU|LAU|MANDA AIRSTRIP
UNITED STATES|LAWTON|LAW|LAWTON FORT SILL REGIONAL AIRPORT
UNITED STATES|LOS ANGELES|LAX|LOS ANGELES INTERNATIONAL AIRPORT
SOUTH AFRICA|LADYSMITH|LAY|LADYSMITH AIRPORT
BRAZIL|BOM JESUS DA LAPA|LAZ|BOM JESUS DA LAPA AIRPORT
UNITED KINGDOM|LEEDS|LBA|LEEDS BRADFORD AIRPORT
UNITED STATES|LUBBOCK|LBB|LUBBOCK PRESTON SMITH INTERNATIONAL AIRPORT
GERMANY|LUEBECK|LBC|LUBECK BLANKENSEE AIRPORT
TAJIKISTAN|KHUDZHAND|LBD|KHUDZHAND AIRPORT
UNITED STATES|LATROBE|LBE|ARNOLD PALMER REGIONAL AIRPORT
UNITED STATES|NORTH PLATTE|LBF|NORTH PLATTE REGIONAL AIRPORT LEE BIRD FIELD
FRANCE|PARIS|LBG|PARIS-LE BOURGET AIRPORT
FRANCE|ALBI|LBI|ALBI-LE SEQUESTRE AIRPORT
INDONESIA|LABUHAN BAJO|LBJ|KOMODO (MUTIARA II) AIRPORT
UNITED STATES|LIBERAL|LBL|LIBERAL MID-AMERICA REGIONAL AIRPORT
GABON|LAMBARENE|LBQ|LAMBARENE AIRPORT
BRAZIL|LABREA|LBR|LABREA AIRPORT
FIJI|LAMBASA|LBS|LABASA AIRPORT
UNITED STATES|LUMBERTON|LBT|LUMBERTON REGIONAL AIRPORT
MALAYSIA|LABUAN|LBU|LABUAN AIRPORT
GABON|LIBREVILLE|LBV|LIBREVILLE LEON M'BA INTERNATIONAL AIRPORT
INDONESIA|LONG BAWAN-BORNEO ISLAND|LBW|LONG BAWAN AIRPORT
PHILIPPINES|LUBANG|LBX|LUBANG AIRPORT
ANGOLA|LUCAPA|LBZ|LUCAPA AIRPORT
CYPRUS|LARNACA|LCA|LARNACA INTERNATIONAL AIRPORT
ITALY|LECCE|LCC|LECCE GALATINA AIR BASE
HONDURAS|LA CEIBA|LCE|GOLOSON INTERNATIONAL AIRPORT
SPAIN|LA CORUNA|LCG|A CORUNA AIRPORT
UNITED STATES|LAKE CHARLES|LCH|LAKE CHARLES REGIONAL AIRPORT
POLAND|LODZ|LCJ|LODZ WLADYSLAW REYMONT AIRPORT
UNITED STATES|COLUMBUS|LCK|RICKENBACKER INTERNATIONAL AIRPORT
CUBA|LA COLOMA|LCL|LA COLOMA AIRPORT
UNITED STATES|LAKE CITY|LCQ|LAKE CITY GATEWAY AIRPORT
CHINA|LONGYAN|LCX|LONGYAN GUANZHISHAN AIRPORT
UNITED KINGDOM|LONDON|LCY|LONDON CITY AIRPORT
BRAZIL|LONDRINA|LDB|GOVERNADOR JOSE RICHA AIRPORT
FRANCE|TARBES|LDE|TARBES-LOURDES-PYRENEES AIRPORT
RUSSIA|ARKHANGELSK|LDG|LESHUKONSKOYE AIRPORT
AUSTRALIA|LORD HOWE ISLAND|LDH|LORD HOWE ISLAND AIRPORT
TANZANIA|LINDI|LDI|KIKWETU AIRPORT
UNITED STATES|LINDEN|LDJ|LINDEN AIRPORT
SWEDEN|LIDKOPING|LDK|LIDKOPING-HOVBY AIRPORT
UNITED STATES|LUDINGTON|LDM|MASON COUNTY AIRPORT
NEPAL|LAMIDANDA|LDN|LAMIDANDA AIRPORT
CHINA|YINCHUN|LDS|LINDU AIRPORT
MALAYSIA|LAHAD DATU|LDU|LAHAD DATU AIRPORT
FRENCH GUIANA|SAINT-LAURENT-DU-MARONI|LDX|SAINT-LAURENT-DU-MARONI AIRPORT
UNITED KINGDOM|LONDONDERRY|LDY|CITY OF DERRY AIRPORT
AUSTRALIA|LEARMONTH|LEA|LEARMONTH AIRPORT
UNITED STATES|LEBANON|LEB|LEBANON MUNICIPAL AIRPORT
BRAZIL|LENCOIS|LEC|CORONEL HORACIO DE MATTOS AIRPORT
RUSSIA|ST. PETERSBURG|LED|PULKOVO AIRPORT
UNITED STATES|LEESBURG|LEE|LEESBURG INTERNATIONAL AIRPORT
FRANCE|LE HAVRE|LEH|LE HAVRE OCTEVILLE AIRPORT
SPAIN|ALMERIA|LEI|ALMERIA INTERNATIONAL AIRPORT
GERMANY|LEIPZIG|LEJ|LEIPZIG HALLE AIRPORT
GUINEA|LABE|LEK|TATA AIRPORT
AUSTRALIA|LAKE EVELLA|LEL|LAKE EVELLA AIRPORT
SPAIN|LEON|LEN|LEON AIRPORT
UNITED KINGDOM|LAND'S END|LEQ|LAND'S END AIRPORT
AUSTRALIA|LEINSTER|LER|LEINSTER AIRPORT
COLOMBIA|LETICIA|LET|ALFREDO VASQUEZ COBO INTERNATIONAL AIRPORT
SPAIN|SEO DE URGEL|LEU|PIRINEUS - LA SEU D'URGEL AIRPORT
FIJI|LEVUKA|LEV|LEVUKA AIRFIELD
UNITED STATES|LEWISTON|LEW|AUBURN LEWISTON MUNICIPAL AIRPORT
UNITED STATES|LEXINGTON KY|LEX|BLUE GRASS AIRPORT
NETHERLANDS|LELYSTAD|LEY|LELYSTAD AIRPORT
UNITED STATES|HAMPTON|LFI|LANGLEY AIR FORCE BASE
UNITED STATES|LUFKIN|LFK|ANGELINA COUNTY AIRPORT
VENEZUELA|LA FRIA|LFR|LA FRIA AIRPORT
UNITED STATES|LAFAYETTE|LFT|LAFAYETTE REGIONAL AIRPORT
TOGO|LOME|LFW|LOME-TOKOIN AIRPORT
UNITED STATES|NEW YORK|LGA|LA GUARDIA AIRPORT
UNITED STATES|LONG BEACH|LGB|LONG BEACH  DAUGHERTY FIELD  AIRPORT
UNITED STATES|LAGRANGE|LGC|LAGRANGE CALLAWAY AIRPORT
UNITED STATES|LA GRANDE|LGD|LA GRANDE UNION COUNTY AIRPORT
BELGIUM|LIEGE|LGG|LIEGE AIRPORT
AUSTRALIA|LEIGH CREEK|LGH|LEIGH CREEK AIRPORT
BAHAMAS|DEAD MAN'S CAY|LGI|DEADMAN'S CAY AIRPORT
MALAYSIA|LANGKAWI|LGK|LANGKAWI INTERNATIONAL AIRPORT
MALAYSIA|LONG DATIH|LGL|LONG LELLANG AIRPORT
GERMANY|LANGEOOG|LGO|LANGEOOG AIRPORT
PHILIPPINES|LEGAZPI|LGP|LEGAZPI CITY INTERNATIONAL AIRPORT
CHILE|COCHRANE|LGR|COCHRANE AIRPORT
ARGENTINA|MALARGUE|LGS|COMODORO D.R. SALOMON AIRPORT
UNITED STATES|LOGAN|LGU|LOGAN-CACHE AIRPORT
UNITED KINGDOM|LONDON|LGW|LONDON GATWICK AIRPORT
GERMANY|LAHR|LHA|LAHR AIRPORT
PERU|CABALLOCOCHA|LHC|CABALLOCOCHA AIRPORT
UNITED STATES|ANCHORAGE|LHD|LAKE HOOD SEAPLANE BASE
PAKISTAN|LAHORE|LHE|ALAMA IQBAL INTERNATIONAL AIRPORT
AUSTRALIA|LIGHTNING RIDGE|LHG|LIGHTNING RIDGE AIRPORT
CHINA|GUANGHUA|LHK|GUANGZHOU MR AIR BASE
UNITED STATES|LINCOLN|LHM|LINCOLN REGIONAL KARL HARDER FIELD
UNITED KINGDOM|LONDON|LHR|LONDON HEATHROW AIRPORT
ARGENTINA|LAS HERAS|LHS|LAS HERAS AIRPORT
UNITED STATES|LOCK HAVEN|LHV|WILLIAM T. PIPER MEMORIAL AIRPORT
CHINA|LANZHOU|LHW|LANZHOU ZHONGCHUAN AIRPORT
UNITED STATES|LA JUNTA|LHX|LA JUNTA MUNICIPAL AIRPORT
NETHERLANDS|VALKENBURG|LID|VALKENBURG NAVAL AIR BASE
NEW CALEDONIA|LIFOU|LIF|LIFOU AIRPORT
FRANCE|LIMOGES|LIG|LIMOGES AIRPORT
UNITED STATES|LIHUE|LIH|LIHUE AIRPORT
INDONESIA|MULIA|LII|MULIA AIRPORT
FRANCE|LILLE|LIL|LILLE-LESQUIN AIRPORT
PERU|LIMA|LIM|JORGE CHAVEZ INTERNATIONAL AIRPORT
ITALY|MILAN|LIN|MILANO LINATE AIRPORT
COSTA RICA|LIMON|LIO|LIMON INTERNATIONAL AIRPORT
BRAZIL|LINS|LIP|LINS AIRPORT
CONGO (KINSHASA)|LISALA|LIQ|LISALA AIRPORT
COSTA RICA|LIBERIA|LIR|DANIEL ODUBER QUIROS INTERNATIONAL AIRPORT
PORTUGAL|LISBON|LIS|LISBON PORTELA AIRPORT
UNITED STATES|LITTLE ROCK|LIT|BILL & HILLARY CLINTON NATIONAL AIRPORT ADAMS FIELD
BURMA|LOIKAW|LIW|LOIKAW AIRPORT
MALAWI|LIKOMA ISLAND|LIX|LIKOMA ISLAND AIRPORT
CONGO (KINSHASA)|LODJA|LJA|LODJA AIRPORT
CHINA|LIJIANG|LJG|LIJIANG AIRPORT
SLOVENIA|LJUBLJANA|LJU|LJUBLJANA JOZE PUCNIK AIRPORT
FIJI|LAKEBA ISLAND|LKB|LAKEBA ISLAND AIRPORT
KENYA|LOKICHOGGIO|LKG|LOKICHOGGIO AIRPORT
MALAYSIA|LONG AKAH|LKH|LONG AKAH AIRPORT
NORWAY|LAKSELV|LKL|BANAK AIRPORT
NORWAY|LEKNES|LKN|LEKNES AIRPORT
INDIA|LUCKNOW|LKO|CHAUDHARY CHARAN SINGH INTERNATIONAL AIRPORT
UNITED STATES|LAKE PLACID|LKP|LAKE PLACID AIRPORT
CZECH REPUBLIC|SAZENA|LKS|SAZENA AIRPORT
TANZANIA|LAKE MANYARA|LKY|LAKE MANYARA AIRPORT
SWEDEN|LULEA|LLA|LULEA AIRPORT
CHINA|YONGZHOU|LLF|LINGLING AIRPORT
ETHIOPIA|LALIBELLA|LLI|LALIBELLA AIRPORT
AZERBAIJAN|LANKARAN|LLK|LANKARAN INTERNATIONAL AIRPORT
UNITED STATES|MONTICELLO|LLQ|MONTICELLO MUNICIPAL ELLIS FIELD
GREENLAND|ALLUITSUP PAA|LLU|ALLUITSUP PAA HELIPORT
MALAWI|LILONGWE|LLW|LILONGWE INTERNATIONAL AIRPORT
FRANCE|LE MANS|LME|LE MANS-ARNAGE AIRPORT
MEXICO|LOS MOCHIS|LMM|VALLE DEL FUERTE INTERNATIONAL AIRPORT
MALAYSIA|LIMBANG|LMN|LIMBANG AIRPORT
UNITED KINGDOM|LOSSIEMOUTH|LMO|RAF LOSSIEMOUTH
ITALY|LAMPEDUSA|LMP|LAMPEDUSA AIRPORT
SOUTH AFRICA|LIME ACRES|LMR|LIME ACRES FINSCH MINE AIRPORT
UNITED STATES|KLAMATH FALLS|LMT|KLAMATH FALLS AIRPORT
UNITED STATES|WEST PALM BEACH|LNA|PALM BEACH COUNTY PARK AIRPORT
VANUATU|LAMEN BAY|LNB|LAMEN BAY AIRPORT
GERMANY|LINDAU|LND|HUNT FIELD
VANUATU|LONORORE|LNE|LONORORE AIRPORT
UNITED STATES|LINCOLN|LNK|LINCOLN AIRPORT
UNITED STATES|WILLOUGHBY|LNN|WILLOUGHBY LOST NATION MUNICIPAL AIRPORT
AUSTRALIA|LEONORA|LNO|LEONORA AIRPORT
UNITED STATES|LONE ROCK|LNR|TRI-COUNTY REGIONAL AIRPORT
UNITED STATES|LANCASTER|LNS|LANCASTER AIRPORT
UNITED STATES|LANAI|LNY|LANAI AIRPORT
AUSTRIA|LINZ|LNZ|LINZ HORSCHING AIRPORT
VANUATU|LONGANA|LOD|LONGANA AIRPORT
THAILAND|LOEI|LOE|LOEI AIRPORT
ECUADOR|LA TOMA (CATAMAYO)|LOH|CAMILO PONCE ENRIQUEZ AIRPORT
KENYA|LODWAR|LOK|LODWAR AIRPORT
UNITED STATES|LOVELOCK|LOL|DERBY FIELD
ALGERIA|LAGHOUAT|LOO|LAGHOUAT AIRPORT
INDONESIA|PRAYA|LOP|LOMBOK INTERNATIONAL AIRPORT
NIGERIA|LAGOS|LOS|MURTALA MUHAMMED INTERNATIONAL AIRPORT
UNITED STATES|LOCKPORT|LOT|LEWIS UNIVERSITY AIRPORT
UNITED STATES|LOUISVILLE|LOU|BOWMAN FIELD
MEXICO|MONCLOVA|LOV|MONCLOVA INTERNATIONAL AIRPORT
UNITED STATES|LONDON|LOZ|LONDON-CORBIN AIRPORT MAGEE FIELD
SPAIN|GRAN CANARIA|LPA|GRAN CANARIA AIRPORT
BOLIVIA|LA PAZ|LPB|EL ALTO INTERNATIONAL AIRPORT
UNITED STATES|LOMPOC|LPC|LOMPOC AIRPORT
COLOMBIA|LA PEDRERA|LPD|LA PEDRERA AIRPORT
ARGENTINA|LA PLATA|LPG|LA PLATA AIRPORT
SWEDEN|LINKOEPING|LPI|LINKOPING CITY AIRPORT
RUSSIA|LIPETSK|LPK|LIPETSK AIRPORT
UNITED KINGDOM|LIVERPOOL|LPL|LIVERPOOL JOHN LENNON AIRPORT
VANUATU|LAMAP|LPM|LAMAP AIRPORT
FINLAND|LAPPEENRANTA|LPP|LAPPEENRANTA AIRPORT
LAOS|LUANG PRABANG|LPQ|LUANG PHABANG INTERNATIONAL AIRPORT
UNITED STATES|LORAIN-ELYRIA|LPR|LORAIN COUNTY REGIONAL AIRPORT
UNITED STATES|LOPEZ|LPS|LOPEZ ISLAND AIRPORT
THAILAND|LAMPANG|LPT|LAMPANG AIRPORT
INDONESIA|LONG APUNG-BORNEO ISLAND|LPU|LONG APUNG AIRPORT
LATVIA|LIEPAJA|LPX|LIEPAJA INTERNATIONAL AIRPORT
FRANCE|LE PUY|LPY|LE PUY-LOUDES AIRPORT
COLOMBIA|PUERTO LEGUIZAMO|LQM|CAUCAYA AIRPORT
UNITED STATES|LARNED|LQR|LARNED PAWNEE COUNTY AIRPORT
GREECE|LARISSA|LRA|LARISA AIRPORT
UNITED STATES|LAREDO|LRD|LAREDO INTERNATIONAL AIRPORT
AUSTRALIA|LONGREACH|LRE|LONGREACH AIRPORT
UNITED STATES|JACKSONVILLE|LRF|LITTLE ROCK AIR FORCE BASE
FRANCE|LA ROCHELLE|LRH|LA ROCHELLE-ILE DE RE AIRPORT
TOGO|NIATOUGOU|LRL|NIAMTOUGOU INTERNATIONAL AIRPORT
DOMINICAN REPUBLIC|LA ROMANA|LRM|CASA DE CAMPO INTERNATIONAL AIRPORT
UNITED STATES|MOUNT PLEASANT|LRO|MT PLEASANT REGIONAL-FAISON FIELD
IRAN|LAR|LRR|LAR AIRPORT
GREECE|LEROS|LRS|LEROS AIRPORT
FRANCE|LORIENT|LRT|LORIENT SOUTH BRITTANY (BRETAGNE SUD) AIRPORT
UNITED STATES|LAS CRUCES|LRU|LAS CRUCES INTERNATIONAL AIRPORT
VENEZUELA|LOS ROQUES|LRV|LOS ROQUES AIRPORT
CHILE|LA SERENA|LSC|LA FLORIDA AIRPORT
UNITED STATES|LA CROSSE|LSE|LA CROSSE MUNICIPAL AIRPORT
UNITED STATES|FORT BENNING|LSF|LAWSON ARMY AIR FIELD (FORT BENNING)
BURMA|LASHIO|LSH|LASHIO AIRPORT
UNITED KINGDOM|SUMBURGH|LSI|SUMBURGH AIRPORT
VENEZUELA|PARAGUANA|LSP|JOSEFA CAMEJO INTERNATIONAL AIRPORT
CHILE|LOS ANGELES|LSQ|MARIA DOLORES AIRPORT
GUADELOUPE|LES SAINTES|LSS|TERRE-DE-HAUT AIRPORT
AUSTRALIA|LAUNCESTON|LST|LAUNCESTON AIRPORT
UNITED STATES|LAS VEGAS|LSV|NELLIS AIR FORCE BASE
INDONESIA|LHOK SEUMAWE-SUMATRA ISLAND|LSW|MALIKUS SALEH AIRPORT
AUSTRALIA|LISMORE|LSY|LISMORE AIRPORT
CROATIA|MALI LOSINJ|LSZ|LOSINJ ISLAND AIRPORT
SOUTH AFRICA|TZANEEN|LTA|TZANEEN AIRPORT
LIBYA|GHADAMES|LTD|GHADAMES EAST AIRPORT
MONGOLIA|ALTAI|LTI|ALTAI AIRPORT
SYRIA|LATAKIA|LTK|BASSEL AL-ASSAD INTERNATIONAL AIRPORT
GUYANA|LETHEM|LTM|LETHEM AIRPORT
UNITED KINGDOM|LONDON|LTN|LONDON LUTON AIRPORT
MEXICO|LORETO|LTO|LORETO INTERNATIONAL AIRPORT
FRANCE|LE TOURQUET|LTQ|LE TOUQUET-COTE D'OPALE AIRPORT
UNITED STATES|ALTUS|LTS|ALTUS AIR FORCE BASE
FRANCE|LA MOLE|LTT|LA MOLE AIRPORT
ECUADOR|LATACUNGA|LTX|COTOPAXI INTERNATIONAL AIRPORT
NEPAL|LUKLA|LUA|LUKLA AIRPORT
NAMIBIA|LUDERITZ|LUD|LUDERITZ AIRPORT
UNITED STATES|PHOENIX|LUF|LUKE AIR FORCE BASE
SWITZERLAND|LUGANO|LUG|LUGANO AIRPORT
INDIA|LUDHIAHA|LUH|LUDHIANA AIRPORT
UNITED STATES|CINCINNATI|LUK|CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD
CHINA|LUXI|LUM|MANGSHI AIRPORT
ZAMBIA|LUSAKA|LUN|KENNETH KAUNDA INTERNATIONAL AIRPORT LUSAKA
ANGOLA|LUENA|LUO|LUENA AIRPORT
UNITED STATES|MOLOKAI|LUP|KALAUPAPA AIRPORT
ARGENTINA|SAN LUIS|LUQ|BRIGADIER MAYOR D CESAR RAUL OJEDA AIRPORT
UNITED STATES|CAPE LISBURNE|LUR|CAPE LISBURNE LRRS AIRPORT
INDONESIA|LANGGUR-KEI ISLANDS|LUV|DUMATUMBUN AIRPORT
INDONESIA|LUWUK|LUW|BUBUNG AIRPORT
LUXEMBOURG|LUXEMBURG|LUX|LUXEMBOURG-FINDEL INTERNATIONAL AIRPORT
FRANCE|LAVAL|LVA|LAVAL-ENTRAMMES AIRPORT
ZAMBIA|LIVINGSTONE|LVI|LIVINGSTONE AIRPORT
UNITED STATES|LIVERMORE|LVK|LIVERMORE MUNICIPAL AIRPORT
UNITED STATES|LIVINGSTON-MONTANA|LVM|MISSION FIELD
AUSTRALIA|LAVERTON|LVO|LAVERTON AIRPORT
BRAZIL|LUCAS DO RIO VERDE|LVR|FAZENDA COLEN AIRPORT
UNITED STATES|LAS VEGAS|LVS|LAS VEGAS MUNICIPAL AIRPORT
UNITED STATES|SOUTH HAVEN|LWA|SOUTH HAVEN AREA REGIONAL AIRPORT
UNITED STATES|LEWISBURG|LWB|GREENBRIER VALLEY AIRPORT
UNITED STATES|LAWRENCE|LWC|LAWRENCE MUNICIPAL AIRPORT
UNITED KINGDOM|LERWICK|LWK|LERWICK TINGWALL AIRPORT
UNITED STATES|LAWRENCE|LWM|LAWRENCE MUNICIPAL AIRPORT
ARMENIA|GYUMRI|LWN|GYUMRI SHIRAK AIRPORT
UKRAINE|LVOV|LWO|LVIV INTERNATIONAL AIRPORT
NETHERLANDS|LEEUWARDEN|LWR|LEEUWARDEN AIR BASE
UNITED STATES|LEWISTON|LWS|LEWISTON NEZ PERCE COUNTY AIRPORT
UNITED STATES|LEWISTOWN|LWT|LEWISTOWN MUNICIPAL AIRPORT
MALAYSIA|LAWAS|LWY|LAWAS AIRPORT
CHINA|LHASA|LXA|LHASA GONGGAR AIRPORT
LAOS|LUANG NAMTHA|LXG|LUANG NAMTHA AIRPORT
UNITED STATES|LEXINGTON|LXN|JIM KELLY FIELD
EGYPT|LUXOR|LXR|LUXOR INTERNATIONAL AIRPORT
GREECE|LIMNOS|LXS|LIMNOS AIRPORT
CHINA|LUOYANG|LYA|LUOYANG AIRPORT
CAYMAN ISLANDS|LITTLE CAYMAN|LYB|EDWARD BODDEN AIRFIELD
SWEDEN|LYCKSELE|LYC|LYCKSELE AIRPORT
UNITED KINGDOM|LYNEHAM|LYE|RAF LYNEHAM
CHINA|LIANYUNGANG|LYG|LIANYUNGANG AIRPORT
UNITED STATES|LYNCHBURG|LYH|LYNCHBURG REGIONAL PRESTON GLENN FIELD
CHINA|LINYI|LYI|SHUBULING AIRPORT
UNITED KINGDOM|LYMPNE|LYM|LYMPNE AIRPORT
FRANCE|LYON|LYN|LYON-BRON AIRPORT
PAKISTAN|FAISALABAD|LYP|FAISALABAD INTERNATIONAL AIRPORT
NORWAY|SVALBARD|LYR|SVALBARD AIRPORT
FRANCE|LYON|LYS|LYON SAINT-EXUPERY AIRPORT
UNITED STATES|ELY|LYU|ELY MUNICIPAL AIRPORT
UNITED KINGDOM|LYDD|LYX|LYDD AIRPORT
MEXICO|LAZARD CARDENAS|LZC|LAZARO CARDENAS AIRPORT
CHINA|LIUZHOU|LZH|LIUZHOU BAILIAN AIRPORT
